customer_id,age,gender,city,job_role,employment_type,income,credit_score,savings_rate,existing_loan_balance,account_balance,joined_date
55,26,Male,Brennanview,Software Engineer,Freelance,1985118,749,0.59,0,499921,2024-11-02
56,34,Non-binary,Michaelport,Consultant,Contract,1431128,614,0.13,919206,6235,2022-07-31
57,34,Female,Jessicaberg,Sales,Freelance,300534,800,0.59,0,100908,2024-03-14
58,40,Female,Garciaport,Product Manager,Salaried,1089665,420,0.2,953929,499921,2024-10-21
59,36,Non-binary,Lake Nicole,Software Engineer,Salaried,1613463,850,0.19,522573,499921,2020-12-15
60,40,Male,Ruizbury,Designer,Contract,1998831,646,0.25,0,183879,2024-11-25
61,28,Male,Lake Jesseberg,Data Scientist,Salaried,1233937,564,0.22,0,1052,2020-12-07
62,34,Non-binary,Vasqueztown,Designer,Salaried,1998433,850,0.04,0,399125,2021-03-21
63,36,Non-binary,East Jasmine,Data Scientist,Salaried,689350,850,0.42,377149,380864,2021-06-03
64,40,Female,Josephmouth,Data Scientist,Salaried,1079116,829,0.14,14760,474134,2021-09-28
65,35,Female,Nelsonport,Sales,Salaried,1496096,742,0.47,0,34954,2022-07-16
66,39,Non-binary,Acostaview,Data Scientist,Salaried,1589353,672,0.28,0,499921,2023-03-09
67,28,Female,Port Benjaminmouth,Product Manager,Freelance,620176,850,0.35,0,225224,2022-02-26
68,38,Male,Jenniferview,Designer,Freelance,1432635,726,0.44,0,213552,2022-10-14
69,23,Female,Lisaland,Banker,Freelance,765026,773,0.52,49863,327393,2024-11-26
70,23,Male,Port Jameshaven,Product Manager,Freelance,322027,850,0.54,604508,117975,2022-08-12
71,39,Non-binary,Jonesbury,Designer,Salaried,1768795,411,0.38,654943,405420,2025-08-26
72,37,Male,Port Taraland,Product Manager,Contract,1998831,602,0.44,3166,6644,2024-07-05
73,33,Female,New Curtis,Sales,Salaried,1795828,459,0.06,0,298451,2022-10-22
74,24,Male,Port Debbie,Consultant,Contract,687344,758,0.42,0,499921,2020-10-03
75,40,Male,Cainfort,Banker,Contract,1611227,461,0.36,876759,111660,2024-12-07
76,27,Female,Wattsshire,Designer,Contract,1934775,672,0.52,0,390458,2020-10-29
77,34,Non-binary,East Jason,Banker,Salaried,793675,640,0.07,569104,290188,2024-05-13
78,39,Female,Amandabury,Software Engineer,Freelance,1998831,592,0.47,275155,462346,2022-09-09
79,39,Female,Bennettville,Sales,Freelance,679473,709,0.6,999134,287403,2022-08-11
80,40,Female,Mezamouth,Data Scientist,Salaried,524869,567,0.02,26559,499921,2024-09-13
81,40,Male,Jameston,Data Scientist,Contract,1951376,722,0.46,127416,168776,2022-10-04
82,23,Male,West Chadfurt,Consultant,Contract,1746279,806,0.35,777836,323773,2020-10-03
83,30,Male,East Carlburgh,Banker,Freelance,578487,602,0.07,0,471140,2020-10-03
84,36,Female,Marshallfurt,Consultant,Salaried,1515553,850,0.12,0,354509,2024-04-12
85,33,Male,Robertside,Data Scientist,Freelance,834945,850,0.33,425545,66596,2023-04-22
86,34,Male,North Melindamouth,Designer,Salaried,1561003,593,0.11,0,37108,2022-03-05
87,26,Male,Sandraview,Sales,Contract,1901031,764,0.14,616690,239176,2025-04-29
88,25,Female,Moniqueton,Software Engineer,Freelance,1701777,850,0.55,37977,499921,2022-02-16
89,34,Female,Johnsonville,Designer,Freelance,1998831,850,0.43,982387,210076,2021-11-28
90,27,Female,New Michaelview,Sales,Salaried,757159,722,0.18,869136,327681,2020-10-03
91,36,Non-binary,North Hayley,Software Engineer,Freelance,1969675,445,0.38,193568,434351,2024-05-28
92,36,Non-binary,Shariside,Product Manager,Freelance,1536256,826,0.48,529673,439316,2020-12-13
93,34,Male,South Bruce,Designer,Salaried,1587344,445,0.13,28321,91334,2024-12-26
94,32,Non-binary,Port Danny,Software Engineer,Salaried,651292,673,0.3,0,470159,2023-05-30
95,29,Male,South Emily,Data Scientist,Salaried,1998831,849,0.21,0,36924,2022-03-22
96,31,Non-binary,Parkerville,Consultant,Contract,960396,850,0.6,694104,95051,2024-03-03
97,28,Female,East Kylemouth,Designer,Salaried,947520,661,0.34,4044,489294,2020-10-03
98,23,Male,Port Hollymouth,Designer,Freelance,308021,850,0.04,839999,483626,2020-10-03
99,23,Female,West Alectown,Product Manager,Contract,1451566,553,0.46,19560,57602,2024-04-17
100,32,Non-binary,Blackton,Product Manager,Salaried,888392,695,0.21,8617,471856,2023-01-13
101,28,Female,Johnsonland,Banker,Salaried,1912751,654,0.6,0,403363,2022-01-23
102,24,Female,New Larry,Product Manager,Salaried,1431096,470,0.58,9998,499921,2020-10-03
103,35,Female,Ryanburgh,Consultant,Freelance,1363404,302,0.41,0,414800,2020-10-03
104,23,Female,East Debra,Designer,Freelance,654145,616,0.54,43737,238552,2024-02-22
105,37,Male,East Dennisstad,Product Manager,Contract,1998831,699,0.41,0,479316,2024-09-01
106,35,Female,Maryfurt,Sales,Salaried,874751,850,0.5,681068,259341,2022-01-02
107,25,Male,Nguyenside,Software Engineer,Salaried,1484694,483,0.3,0,113480,2024-10-03
108,40,Male,Laurafort,Data Scientist,Salaried,834623,432,0.32,0,50810,2024-10-22
109,23,Male,North Mark,Data Scientist,Salaried,1900765,850,0.32,0,499921,2023-05-10
110,27,Male,Caitlinborough,Software Engineer,Freelance,1998831,848,0.37,53887,213765,2024-12-26
111,24,Male,Port Curtis,Software Engineer,Freelance,665599,850,0.52,0,172180,2023-03-06
112,25,Male,North Jennifer,Banker,Freelance,1535970,827,0.33,521647,147645,2022-07-02
113,23,Female,Lake Sierra,Product Manager,Freelance,592691,701,0.44,30813,418981,2022-09-28
114,30,Female,Lake Adrianchester,Data Scientist,Salaried,1368961,758,0.29,0,421374,2024-09-02
115,36,Non-binary,East Toddtown,Sales,Salaried,1979395,767,0.1,0,1052,2023-10-31
116,24,Female,Justinfurt,Consultant,Freelance,1998831,493,0.31,0,499921,2022-03-12
117,33,Female,South Lindaview,Banker,Freelance,390028,843,0.06,890972,137750,2022-12-06
118,23,Male,Morrisport,Consultant,Freelance,1303454,604,0.59,0,460174,2024-10-24
119,40,Non-binary,New Sara,Software Engineer,Freelance,1741462,850,0.48,0,330744,2024-05-28
120,38,Male,Port Derekborough,Sales,Freelance,1998831,552,0.58,19683,442741,2021-04-20
121,36,Non-binary,Cannontown,Designer,Salaried,1741705,701,0.27,971756,21351,2020-10-03
122,29,Female,East Timothyport,Product Manager,Freelance,793005,494,0.43,0,347292,2024-02-05
123,38,Male,Doughertyton,Banker,Freelance,1569448,372,0.28,562923,456615,2023-07-01
124,33,Male,Peckmouth,Designer,Salaried,1825825,497,0.6,46237,96948,2021-04-23
125,35,Female,East Patrickshire,Product Manager,Freelance,1945792,850,0.6,992123,257685,2023-02-13
126,26,Male,Waltonland,Software Engineer,Salaried,794722,850,0.39,0,135215,2021-07-20
127,27,Male,Longfurt,Consultant,Freelance,1103744,455,0.0,0,344591,2020-10-03
128,27,Female,Greenside,Product Manager,Salaried,628175,568,0.41,0,161463,2024-04-09
129,37,Female,West Jeffreyburgh,Data Scientist,Contract,655691,850,0.55,0,338650,2020-10-03
130,27,Female,East Jessicamouth,Software Engineer,Freelance,1139592,720,0.34,0,457112,2025-10-01
131,38,Female,New Robert,Product Manager,Salaried,567158,759,0.09,732244,344288,2025-02-22
132,36,Non-binary,Davidstad,Data Scientist,Freelance,1568279,850,0.43,0,450025,2021-05-15
133,32,Female,Haleymouth,Designer,Freelance,1687271,850,0.5,686268,297765,2024-05-19
134,28,Non-binary,Johnfurt,Data Scientist,Salaried,1424873,681,0.36,0,132967,2023-05-13
135,26,Male,Roachmouth,Banker,Salaried,1998831,850,0.16,0,93413,2025-10-01
136,25,Non-binary,Port Williammouth,Data Scientist,Salaried,1998831,834,0.0,0,439085,2020-10-03
137,34,Female,Lake Carlosbury,Banker,Freelance,581195,837,0.56,0,448187,2020-10-19
138,30,Male,Cruzbury,Designer,Freelance,1377455,435,0.06,0,87031,2022-08-28
139,33,Non-binary,Cameronberg,Data Scientist,Salaried,455918,449,0.25,20777,499921,2025-08-16
140,40,Male,New Mark,Data Scientist,Salaried,1025605,850,0.42,0,466623,2020-10-29
141,35,Female,Saraburgh,Consultant,Freelance,1110814,664,0.14,0,455087,2021-03-09
142,40,Male,Nunezfort,Consultant,Contract,1223792,622,0.57,3888,499921,2024-01-29
143,23,Male,Meganview,Consultant,Contract,514512,789,0.28,5540,445347,2022-07-30
144,38,Male,Mooreburgh,Data Scientist,Salaried,1515205,613,0.13,824329,296764,2020-10-03
145,35,Female,Thomasmouth,Consultant,Salaried,507855,671,0.39,378048,341628,2022-06-08
146,33,Male,Anitamouth,Designer,Freelance,1861835,691,0.56,0,428483,2021-08-12
147,35,Male,North Krystal,Product Manager,Freelance,1836372,806,0.15,887164,328644,2024-05-03
148,37,Female,West Kayla,Consultant,Contract,1405248,763,0.5,0,492656,2023-07-16
149,38,Male,Wilkinsonborough,Software Engineer,Freelance,1905798,742,0.28,813681,301601,2025-03-06
150,36,Female,Ruthland,Sales,Contract,1381928,753,0.3,0,463393,2020-10-03
151,33,Non-binary,North Wesley,Data Scientist,Salaried,1403867,763,0.49,610242,337442,2020-11-27
152,36,Female,Lake Nancyshire,Software Engineer,Freelance,1076795,794,0.21,0,292977,2024-06-12
153,30,Male,Christinamouth,Designer,Contract,458807,733,0.0,18588,448889,2021-06-03
154,31,Female,New Davidton,Software Engineer,Contract,1162854,821,0.59,0,356746,2024-09-13
155,36,Male,Riversville,Designer,Freelance,370978,850,0.25,0,219760,2022-04-23
156,32,Female,West Jontown,Sales,Salaried,1668965,587,0.15,14926,499921,2021-12-17
157,30,Male,West Jamesport,Data Scientist,Freelance,1871030,812,0.37,398800,441063,2025-08-11
158,35,Female,Hollyfort,Designer,Freelance,1366991,518,0.15,575157,411512,2021-09-11
159,40,Female,Amytown,Designer,Freelance,1494844,840,0.31,0,446849,2024-08-14
160,29,Male,Lake Alexisfurt,Product Manager,Freelance,701215,789,0.27,0,142693,2024-07-13
161,35,Female,Aprilfort,Data Scientist,Salaried,1278304,850,0.35,559244,417699,2025-01-05
162,25,Female,Andersonview,Sales,Freelance,998700,726,0.46,688482,499921,2022-01-12
163,37,Male,West Alexmouth,Designer,Salaried,1723899,641,0.45,0,473626,2020-12-31
164,40,Male,Kristaburgh,Banker,Freelance,773513,409,0.58,466234,195695,2021-09-10
165,24,Male,Watsonmouth,Designer,Freelance,986633,682,0.6,826287,104338,2024-10-29
166,26,Female,Timothyshire,Sales,Salaried,848397,396,0.44,0,271992,2025-10-01
167,36,Male,Lake Tracy,Consultant,Contract,333399,850,0.56,918975,1052,2025-01-03
168,40,Non-binary,North Destiny,Sales,Freelance,843765,838,0.29,0,452110,2024-04-15
169,38,Female,South Kathryn,Product Manager,Freelance,1382386,850,0.12,0,103150,2024-02-11
170,27,Male,West Julie,Designer,Freelance,1998831,785,0.33,0,74555,2024-12-07
171,35,Male,Simpsonchester,Data Scientist,Contract,1056967,608,0.29,999134,81097,2022-04-29
172,38,Male,East Allenside,Banker,Salaried,658681,670,0.11,0,246322,2024-07-11
173,25,Female,South Jason,Designer,Freelance,1058051,425,0.36,0,144355,2020-10-03
174,35,Female,Zhangtown,Consultant,Salaried,1262629,850,0.13,30024,323109,2024-06-13
175,39,Male,Lake Meghanberg,Product Manager,Freelance,1163139,717,0.0,517675,430252,2020-10-03
176,40,Female,Knoxton,Data Scientist,Salaried,1230972,344,0.11,0,167624,2020-10-03
177,26,Male,New William,Sales,Freelance,1588787,453,0.48,0,343240,2020-10-03
178,39,Female,West Abigailborough,Banker,Salaried,1218377,724,0.05,4353,499921,2020-10-21
179,38,Male,North Sarah,Product Manager,Freelance,1583164,729,0.4,25653,499921,2024-10-15
180,30,Male,West Joshuahaven,Product Manager,Freelance,1998831,647,0.17,0,371187,2022-10-12
181,24,Non-binary,North Ryanhaven,Designer,Freelance,404561,506,0.29,8937,99499,2020-12-08
182,36,Female,Lake Traceyland,Sales,Salaried,1877156,794,0.37,688803,306041,2023-10-15
183,36,Male,Chadside,Data Scientist,Salaried,1902247,833,0.45,4248,399748,2023-10-20
184,23,Female,East Williamland,Consultant,Contract,602854,850,0.29,740395,445468,2021-09-12
185,37,Female,South Maryview,Consultant,Salaried,1051713,850,0.27,491990,181685,2020-10-03
186,33,Male,Abigailchester,Data Scientist,Contract,798120,663,0.15,856060,381442,2024-09-22
187,30,Female,West Zachary,Banker,Freelance,690860,850,0.33,696860,161706,2024-03-08
188,36,Non-binary,Port Summerview,Designer,Salaried,1522776,575,0.28,708643,488646,2025-02-14
189,38,Non-binary,Garciaton,Software Engineer,Contract,1180023,746,0.47,0,47125,2020-10-03
190,37,Male,Alvarezmouth,Consultant,Contract,727503,774,0.16,0,379116,2022-05-04
191,30,Male,North Bryanchester,Product Manager,Freelance,1882561,696,0.6,0,474935,2024-01-14
192,35,Male,Georgemouth,Designer,Freelance,547457,758,0.18,489570,40621,2023-06-20
193,36,Female,South Susanborough,Product Manager,Freelance,1090364,797,0.14,0,229254,2020-10-03
194,35,Non-binary,West Robertberg,Data Scientist,Salaried,768498,850,0.27,885540,135980,2021-08-06
195,31,Female,East Brittany,Software Engineer,Contract,486291,850,0.45,676905,444461,2024-10-07
196,24,Male,Knightport,Banker,Contract,1334598,806,0.07,0,85286,2022-10-29
197,39,Non-binary,Williamview,Data Scientist,Freelance,577435,742,0.26,0,395128,2021-08-02
198,36,Male,Dunnfurt,Consultant,Salaried,341510,587,0.06,0,1052,2020-12-12
199,30,Non-binary,Dickersonhaven,Sales,Freelance,1998831,381,0.07,520269,190741,2023-04-03
200,23,Male,Wagnerton,Sales,Salaried,391462,633,0.18,32844,374880,2023-11-04
201,34,Male,Friedmanhaven,Software Engineer,Freelance,1915937,702,0.42,777656,496442,2021-07-30
202,23,Female,South Ericland,Data Scientist,Salaried,612581,824,0.1,2460,381114,2024-09-12
203,37,Non-binary,East Brian,Consultant,Contract,1820186,850,0.42,418280,179622,2021-01-06
204,25,Male,Annbury,Designer,Contract,845710,850,0.3,849094,371250,2020-10-03
205,26,Male,Kellyville,Sales,Freelance,601738,850,0.31,0,38049,2022-01-07
206,28,Female,Colestad,Designer,Salaried,559061,473,0.12,0,64756,2022-10-19
207,36,Female,New Kathybury,Consultant,Contract,730648,571,0.12,94833,1052,2022-10-30
208,35,Male,Geraldshire,Banker,Salaried,1448684,850,0.57,6815,188426,2024-05-16
209,32,Non-binary,Maryborough,Data Scientist,Salaried,1922476,784,0.51,0,304136,2022-08-03
210,33,Female,New Lawrence,Designer,Freelance,1750682,300,0.39,593341,445057,2024-06-17
211,39,Non-binary,Richardtown,Data Scientist,Salaried,1721345,482,0.47,311589,499921,2022-01-27
212,36,Female,South Graceville,Sales,Salaried,997468,701,0.17,0,439631,2022-04-01
213,39,Male,North Angelaport,Data Scientist,Salaried,1462711,729,0.01,0,480275,2022-04-30
214,40,Female,Andersonmouth,Sales,Contract,1066010,485,0.45,0,491545,2021-08-15
215,33,Male,East Jeremy,Software Engineer,Freelance,326163,677,0.55,793297,499921,2022-09-04
216,39,Male,South Cody,Designer,Contract,1444231,727,0.6,853464,383029,2024-10-01
217,40,Male,Port Jasonbury,Designer,Contract,1998831,758,0.37,0,499044,2020-10-03
218,27,Female,West Donnafurt,Data Scientist,Freelance,300534,646,0.32,21401,121330,2020-11-22
219,34,Female,Watsonport,Consultant,Contract,728670,848,0.31,8454,462847,2021-05-06
220,37,Female,New Lisa,Banker,Freelance,1408750,688,0.31,0,299783,2022-11-20
221,38,Non-binary,Lake Bradley,Data Scientist,Salaried,509755,850,0.6,2131,157630,2021-03-15
222,23,Non-binary,Port Michaelborough,Banker,Salaried,734942,832,0.04,687720,136785,2024-01-05
223,38,Non-binary,Port Meganburgh,Banker,Salaried,1817397,680,0.46,856499,92211,2020-11-20
224,27,Female,South Rebecca,Banker,Freelance,1838989,546,0.33,956518,168333,2025-07-16
225,25,Female,Port Diane,Sales,Salaried,1434538,816,0.25,0,499921,2022-06-27
226,27,Female,East Cody,Consultant,Freelance,1763180,850,0.18,38462,117344,2024-09-26
227,40,Female,East Robertchester,Sales,Salaried,1807714,669,0.56,0,175917,2021-02-23
228,39,Female,Lake Jose,Data Scientist,Freelance,1046317,703,0.09,592528,273972,2024-08-07
229,29,Non-binary,West Robertton,Designer,Salaried,1238386,510,0.37,8899,495578,2022-12-07
230,28,Male,West Joshua,Banker,Contract,675564,756,0.57,0,81153,2024-09-04
231,31,Male,North Angela,Software Engineer,Salaried,385421,423,0.33,20482,163536,2024-01-30
232,38,Non-binary,Lake Linda,Sales,Contract,1998831,850,0.55,0,444930,2022-08-07
233,40,Male,Watersmouth,Consultant,Salaried,1335885,613,0.26,518213,246118,2025-09-12
234,40,Female,East Jessicaton,Software Engineer,Freelance,1366252,775,0.51,300563,235308,2024-06-15
235,33,Female,Emilymouth,Banker,Freelance,1480520,471,0.6,371877,343514,2022-03-20
236,31,Male,Quinnshire,Product Manager,Freelance,1853774,830,0.39,544972,499921,2022-03-12
237,26,Male,Danaborough,Data Scientist,Freelance,1423054,850,0.6,1624,493534,2020-10-03
238,31,Non-binary,Hannahton,Banker,Freelance,300534,850,0.6,310917,41056,2023-02-17
239,36,Female,South Charlesville,Consultant,Contract,1680390,437,0.01,0,466223,2020-12-06
240,34,Male,Juliemouth,Banker,Salaried,1552477,706,0.59,18810,157537,2024-07-12
241,40,Non-binary,Kaylahaven,Data Scientist,Salaried,874851,559,0.26,0,346297,2022-10-18
242,35,Male,South Codyfurt,Data Scientist,Salaried,841842,837,0.3,0,488466,2023-10-30
243,30,Non-binary,West Stephanietown,Software Engineer,Salaried,1335697,735,0.19,0,478304,2024-08-27
244,33,Male,South Steven,Data Scientist,Salaried,1020706,746,0.17,35625,337379,2021-02-24
245,40,Non-binary,Munozport,Product Manager,Contract,1784896,774,0.54,41890,423124,2021-04-15
246,26,Male,South Monicahaven,Product Manager,Freelance,1998831,812,0.07,0,275980,2024-04-13
247,24,Male,Port Joseph,Data Scientist,Salaried,1968746,712,0.18,713440,491524,2024-07-04
248,23,Male,East Michaelbury,Product Manager,Freelance,1998831,850,0.57,14255,153607,2024-11-13
249,23,Female,New Nancy,Banker,Salaried,1799356,605,0.1,0,354167,2022-09-22
250,40,Female,East Stephaniestad,Software Engineer,Freelance,1218388,732,0.38,0,121191,2025-09-02
251,24,Male,North Joshuaside,Sales,Contract,1914072,850,0.6,0,367200,2022-05-24
252,36,Male,North Deborah,Consultant,Freelance,1957423,759,0.09,0,374595,2023-08-29
253,35,Female,South Melissaton,Data Scientist,Freelance,1875390,535,0.27,81911,493275,2022-05-24
254,23,Male,New Lauramouth,Designer,Contract,1955644,743,0.0,778406,180318,2024-02-28
255,32,Non-binary,Bethburgh,Product Manager,Salaried,1007117,619,0.38,53493,365332,2020-10-03
256,28,Male,Roystad,Product Manager,Freelance,1050467,850,0.19,522,499921,2020-10-03
257,39,Female,New Matthewton,Product Manager,Salaried,1011069,300,0.44,705916,93964,2022-09-24
258,27,Female,Johnfort,Sales,Freelance,1822644,817,0.19,0,499921,2021-09-06
259,34,Female,North Alicia,Product Manager,Salaried,1054118,666,0.34,0,407609,2024-03-15
260,24,Non-binary,Lake Taylor,Consultant,Contract,300534,776,0.17,0,143365,2020-10-03
261,35,Non-binary,Lake Michaelstad,Product Manager,Freelance,550388,540,0.06,593382,338912,2024-03-25
262,32,Female,Mitchellville,Banker,Salaried,1998831,642,0.6,202486,409919,2023-09-09
263,23,Male,Wallaceton,Data Scientist,Salaried,1870163,835,0.09,0,286848,2023-09-21
264,39,Female,West Elizabethville,Data Scientist,Freelance,1998831,687,0.41,83708,50302,2024-11-01
265,27,Female,Josephchester,Software Engineer,Freelance,1998831,403,0.3,50073,101411,2022-05-29
266,35,Female,Cynthiabury,Sales,Contract,1878998,850,0.6,0,389564,2021-06-19
267,35,Male,Shawnside,Designer,Contract,1519051,414,0.24,629152,34755,2022-04-21
268,33,Male,Barbaraland,Consultant,Contract,1294008,783,0.15,0,76445,2024-11-01
269,28,Male,Grahamport,Designer,Freelance,1859951,554,0.49,459462,448071,2022-03-15
270,38,Female,Mitchellberg,Designer,Freelance,1839488,495,0.19,1950,48272,2024-11-15
271,36,Male,East Madisonside,Designer,Freelance,1021317,634,0.25,0,1052,2024-09-22
272,37,Male,New Kathryn,Consultant,Contract,1630879,680,0.48,30799,188347,2023-08-05
273,39,Female,East Donaldstad,Consultant,Salaried,599855,850,0.56,0,476766,2022-10-18
274,36,Male,Andreamouth,Consultant,Contract,1643492,699,0.53,133440,480515,2021-03-15
275,33,Female,New Miranda,Consultant,Contract,1683984,389,0.38,0,331070,2020-10-03
276,23,Female,West Ryanborough,Designer,Salaried,1778310,422,0.34,999134,336705,2025-01-01
277,37,Female,Derrickview,Data Scientist,Salaried,1930259,743,0.31,733281,499921,2021-11-15
278,37,Non-binary,East Vanessa,Banker,Contract,1066351,797,0.13,686936,111251,2023-01-17
279,31,Female,Millertown,Software Engineer,Freelance,1445151,455,0.37,606995,461465,2022-10-03
280,28,Male,Nicolehaven,Consultant,Contract,537263,634,0.44,0,1052,2021-04-01
281,25,Non-binary,Harrisburgh,Data Scientist,Salaried,1898973,454,0.17,0,274778,2024-09-24
282,37,Female,South Kaitlynfurt,Banker,Salaried,1237438,393,0.17,27294,391677,2024-01-13
283,36,Male,East Coryport,Designer,Freelance,1998831,850,0.39,810766,149285,2025-09-26
284,23,Female,Christineview,Data Scientist,Salaried,1316716,556,0.15,256225,456651,2022-10-30
285,32,Female,Johnchester,Sales,Contract,545578,786,0.11,580899,404850,2022-10-24
286,27,Male,Lake Dustin,Banker,Freelance,1361593,484,0.09,0,22952,2022-06-25
287,38,Male,North Sheena,Software Engineer,Contract,1129451,850,0.13,644198,388853,2020-10-03
288,34,Non-binary,North Melissafort,Designer,Freelance,619912,473,0.39,672203,499921,2024-01-28
289,38,Male,South Nicholasland,Banker,Freelance,1318500,616,0.12,0,1052,2024-05-03
290,38,Female,Port Joelville,Data Scientist,Salaried,1923814,465,0.51,0,283272,2023-08-31
291,30,Male,Millerberg,Banker,Freelance,1417940,773,0.6,708626,176196,2021-12-12
292,40,Non-binary,Michaelburgh,Designer,Freelance,658668,410,0.36,438654,88871,2024-11-15
293,39,Male,Silvabury,Designer,Freelance,782477,641,0.24,0,236706,2020-10-03
294,35,Female,West Karenbury,Consultant,Contract,547398,850,0.32,0,200473,2020-10-03
295,25,Male,Dodsonmouth,Product Manager,Freelance,1998831,850,0.37,0,463124,2023-08-31
296,23,Female,West Justin,Consultant,Salaried,1350453,508,0.26,0,131378,2022-08-22
297,25,Male,North Tamaraborough,Product Manager,Salaried,943418,660,0.38,3524,380836,2022-03-17
